Site_name or object code,C14Age,C14SD,Lab_code,Lon,Lat,Location quality,Material_Dated,APA_reference,Ref_complete,Archaeological_context,Technology
Los Solares,1640,40,GrN-4200,-72.92396033,5.709485867,Estimated,,"Silva Celis, E. (1945). Investigaciones arqueologicas en Sogamoso. Boletin de Arqueologia, 1, 36–48, 83–112, 283–397, 467–490.",yes,,
M08569 (Buena Vista Boyacá),990,60,I-2362,-73.942086,5.512921,Estimated,Charcoal,"Plazas, C. (1998). Cronologia de la metalurgia colombiana. Boletin Museo del Oro, (44-45), 3-77. https://publicaciones.banrepcultural.org/index.php/bmo/article/view/6894",yes,,
Portalegre Soacha,720,110,GX-18841-G,-74.218652,4.58,Estimated,Bone (H. sapiens),"Enciso B., Therrien M. (2000). Sociedades complejas en la sabana de Bogotá, siglos VIII al XVI d.c. Bogotá: Instituto Colombiano de Antropología e Historia.",yes,,
Primavera I,7190,40,Beta-105282,-75.14366505,6.951927494,Estimated,Charcoal,"Santos, G. (2008). Cazadores-Recolectores y horticultores del Holoceno temprano y medio en la cuenca baja del Porce. In Ecología histórica: Interacciones Sociedad Ambiente a Distintas Escalas Socio Temporales, edited by C. López and G. Ospina, pp. 74-77. Universidad Tecnológica de Pereira, Universidad del Cauca and Sociedad Colombiana de Arqueología, Pereira",yes,,
Madrid,2100,50,Beta-204120,,,,Bone (H. sapiens),"Rodriguez Cuenca, J. V., & Cifuentes, A. (2005). Un yacimiento formativo en el entorno de la antigua laguna de La Herrera, Madrid, Cundinamarca. Maguaré, 19. https://revistas.unal.edu.co/index.php/maguare/article/view/10764",yes,,
Maicura,1000,70,Beta-185962,,,,,"Kosztura Nunez, J. M. (2020). Cultivares y plantas silvestres en las terras de la Amazonia colombiana (Guaviare-Colombia). [Tesis de maestria, Universidad Nacional de Colombia]. https://repositorio.unal.edu.co/handle/unal/77958",yes,,
Maicura,980,60,Beta-185963,,,,,"Kosztura Nunez, J. M. (2020). Cultivares y plantas silvestres en las terras de la Amazonia colombiana (Guaviare-Colombia). [Tesis de maestria, Universidad Nacional de Colombia]. https://repositorio.unal.edu.co/handle/unal/77958",yes,,
Maicura,880,1050,Beta-185964,,,,,"Kosztura Nunez, J. M. (2020). Cultivares y plantas silvestres en las terras de la Amazonia colombiana (Guaviare-Colombia). [Tesis de maestria, Universidad Nacional de Colombia]. https://repositorio.unal.edu.co/handle/unal/77958",yes,,
Maina,1070,60,Beta-30284,-78.65493264,1.981979327,Estimated,Charcoal,"Patiño, D. (1993). Arqueología del Bajo Patía fases y correlaciones en la Costa Pacífica de Colombia y Ecuador.  Latin American Antiquity 4(2): 180-199",yes,,
Majestic Central Park,150,30,Beta-522893,-75.66,4.81,Reported,,"Restrepo Restrepo, C. A. (2019). Rescate y monitoreo arqueologico Plan de Vivienda Majestic Central Park C.F.C Dosquebradas Risaralda.",yes,,
