year_BP,enso_pca
1277,-1.015294
1278,1.642989
1279.5,-0.590329
1281,-0.250434
1281.5,1.651567
1283,0.014089
1284.5,0.978693
1285.5,0.587109
1287,1.282979
1288,2.669639
1289,2.532574
1290,0.478056
1291.5,-1.454472
1293,0.16831
1294,-0.35012
1295,-0.660762
1297,-0.029381
1298,1.908782
1299,2.656513
1300,3.217415
1302,2.734132
1302,0.031932
1304,-0.158328
1305.5,1.094704
1307,1.259214
1308,2.57213
1309,1.523681
1310.5,0.593571
1313,1.959865
1316,1.63218
1320,2.180024
1324,-0.284711
1328.5,0.24599
1334,2.463124
1338.5,1.925945
1343,1.445427
1347.5,3.020395
1352,3.327817
1355,2.471615
1359,1.122182
1362,0.006118
1366,1.420746
1370,2.529466
1373,2.726192
1375,3.630184
1380,0.577694
1384,-1.226745
1387.5,-1.266672
1390,2.316747
1393,2.245723
1396.5,-2.404981
1399,-2.640438
1402,-1.627099
1405,-1.529794
1407,-0.955128
1410,1.219601
1413,1.630795
1417,-1.273969
1420,0.096328
1424,2.692318
1427,-1.672556
1430.5,-4.041893
1433,-2.630621
1436,-1.30467
1438.5,-0.695027
1441,-3.983923
1444,-3.332317
1446,-1.894755
1449,-0.9987
1451,-1.647529
1453,-3.046029
1456.5,-2.165125
1459.5,-0.54727
1463.5,-1.425219
1466,-3.462359
1469,-3.421952
1472,-2.69377
1475,-2.433033
1477.5,-2.470307
1480,-2.775463
1483,-1.67664
1484.5,0.311369
1487.5,2.543841
1490.5,-1.963496
1494,-3.543776
1497,-2.589246
1500,-1.771489
1503.5,-1.784585
1507,-2.018039
1510,-1.046145
1513,-2.135749
1515.5,-3.008302
1517,-2.488988
1520,-1.338433
1522.5,-0.003141
1525,1.667031
1527.5,-0.101119
1530.5,-2.240705
1534,-1.595617
1537,-0.792817
1540,0.939404
1542.5,0.819416
1545,-2.432908
1549,-2.252099
1552,-2.170278
1554,-2.549775
1557,-2.557856
1559,-2.439479
1562,-2.094572
1564.5,-1.862892
1567.5,-0.867249
1570,-2.431201
1573,-2.855858
1576,-3.027831
1579,-1.334848
1581,0.839921
1585,-2.88818
1587.5,-3.719549
1591,-2.474943
1594.5,-1.295395
1597,-0.245526
1599,0.243723
1601,1.096257
1605,-0.380066
1608.5,-1.90221
1611,-1.666937
1613,-1.286467
1615,-0.396505
1618,0.149478
1620,-1.529682
1624,-1.65912
1627.5,0.008239
1630,1.292452
1632,-1.342273
1635,-1.254989
1637,-1.498375
1638,-1.655961
1642.5,-1.762363
1645.5,-1.746576
1647,-1.878948
1651,-2.159087
1654.5,-2.061765
1659,-1.85981
1663,-1.806592
1667,-2.063505
1670.5,-2.022948
1675,-2.097942
1679,-2.095326
1684,-2.369339
1690,-2.311505
1695,-2.128002
1700,-2.146159
1705,-2.011177
1710,-2.079145
1717,-1.98311
1723,-1.990394
1727,-1.917835
1732,-2.186941
1735,-2.043159
1738,-2.427188
1742,-2.034763
1744,-2.129086
1748,-2.213631
1751,-1.977434
1752,-2.013386
1755,-2.301242
1759,-2.085198
1762,-1.819481
1767,-1.526441
1770,-1.808994
1773,-1.78095
1775,-1.852371
1778,-1.746382
1782,-2.272385
1784.5,-2.345762
1787,-3.040696
1791,-2.982039
1794,-3.690815
1797,-4.044035
1799.5,-4.285625
1802,-3.957262
1805,-2.800758
1808,-1.681347
1811,-2.348919
1813,-2.194846
1816.5,-1.902806
1820,-1.387513
1823,-1.409778
1825,-2.749802
1828,-3.484556
1832,-3.292496
1834.5,-2.669374
1838,-2.282533
1842,-2.54098
1845.5,-2.449445
1848.5,-2.737513
1851.5,-2.798493
1855,-2.968777
1858,-3.180954
1860.5,-2.405978
1863.5,-2.821659
1867,-3.270122
1869,-2.940973
1873.5,-2.598645
1877,-2.408974
1882,-2.316049
1886,-2.028272
1890,-1.620527
1893,-3.00634
1896,-3.629664
1900,-3.485686
1904,-3.601897
1908,-2.839081
1911,-2.241794
1914.5,-2.663178
1917.5,-3.268864
1921,-3.745887
